"",0.0
"American (New), Breakfast & Brunch, Italian",4.19147118040923
"American (New), Breakfast & Brunch, Juice Bars & Smoothies",4.14714285714286
"American (New), Breakfast & Brunch, Lounges",3.80235294117647
"American (New), Breakfast & Brunch, Pizza",4.18276220145379
"American (New), Breakfast & Brunch, Pubs",3.95675675675676
"American (New), Breakfast & Brunch, Salad",3.65105683158397
"American (New), Breakfast & Brunch, Sandwiches",3.60879836296382
"American (New), Breakfast & Brunch, Seafood",3.95828242736832
"American (New), Breakfast & Brunch, Southern",4.07301777835334
"American (New), Breakfast & Brunch, Specialty Food",4.13333333333333
"American (New), Breakfast & Brunch, Sports Bars",4.2138406764575
"American (New), Breakfast & Brunch, Steakhouses",3.77673364854216
"American (New), Breakfast & Brunch, Tacos",3.0
"American (New), Breakfast & Brunch, Tea Rooms",4.01536312849162
"American (New), Breakfast & Brunch, Thai",4.06862745098039
"American (New), Breakfast & Brunch, Vegan",4.125
"American (New), Breakfast & Brunch, Vegetarian",4.39874849333452
"American (New), Breakfast & Brunch, Venues & Event Spaces",4.0332023231374
"American (New), Breakfast & Brunch, Whiskey Bars",3.49202127659574
"American (New), Breakfast & Brunch, Wine Bars",3.47913910373513
"American (New), Breweries",3.72963420619871
"American (New), Breweries, Bars",3.77289797744343
"American (New), Breweries, Beer Gardens",4.47469879518072
"American (New), Breweries, Burgers",3.57636887608069
"American (New), Breweries, Cocktail Bars",3.91011235955056
"American (New), Breweries, Comfort Food",3.01986754966887
"American (New), Breweries, Gastropubs",3.984375
"American (New), Breweries, Pizza",3.10947566103177
"American (New), Breweries, Pubs",3.91134311705845
"American (New), Breweries, Sports Bars",3.74342105263158
"American (New), Breweries, Steakhouses",3.66876310272537
"American (New), Breweries, Tacos",3.81102362204724
"American (New), Breweries, Venues & Event Spaces",3.648207082026
"American (New), Brewpubs",4.01722085303218
"American (New), Brewpubs, Beer Bar",3.94444444444444
"American (New), Brewpubs, Cocktail Bars",3.44711538461538
